,brand_name,brand_link,#_of_images
148,FEDERAL BANK,https://www.advertgallery.com/product-category/advertisements-by-brand/federal-bank/,7
149,FEDEX EXPRESS,https://www.advertgallery.com/product-category/advertisements-by-brand/fedex-express/,1
150,FEMINA,https://www.advertgallery.com/product-category/advertisements-by-brand/femina/,1
151,FEVICOL,https://www.advertgallery.com/product-category/advertisements-by-brand/fevicol/,1
152,FIAMA DI WILLS,https://www.advertgallery.com/product-category/advertisements-by-brand/fiama-di-wills-newspaper-advertisements/,3
153,FIAT,https://www.advertgallery.com/product-category/advertisements-by-brand/fiat/,8
154,FIGARO,https://www.advertgallery.com/product-category/advertisements-by-brand/figaro/,3
155,FILMFARE,https://www.advertgallery.com/product-category/advertisements-by-brand/filmfare-newspaper-advertisements/,2
156,FLAIR PENS,https://www.advertgallery.com/product-category/advertisements-by-brand/flair-pens-newspaper-advertisements/,2
157,FLIPKART,https://www.advertgallery.com/product-category/advertisements-by-brand/flipkart/,71
158,FLITE,https://www.advertgallery.com/product-category/advertisements-by-brand/flite/,2
159,FORD,https://www.advertgallery.com/product-category/advertisements-by-brand/ford-advertisements-in-newspaper/,57
160,FORTIS,https://www.advertgallery.com/product-category/advertisements-by-brand/fortis/,8
161,FORTUNE OIL,https://www.advertgallery.com/product-category/advertisements-by-brand/fortune-oil-newspaper-advertisements/,68
162,FREEDOM OIL,https://www.advertgallery.com/product-category/advertisements-by-brand/freedom-oil/,14
163,FUEL,https://www.advertgallery.com/product-category/advertisements-by-brand/fuel-advertisements/,8
164,FURNITUREWALLA,https://www.advertgallery.com/product-category/advertisements-by-brand/furniturewalla/,2
165,GAANA,https://www.advertgallery.com/product-category/advertisements-by-brand/gaana-com-advertisements/,7
166,GALGOTIAS UNIVERSITY,https://www.advertgallery.com/product-category/advertisements-by-brand/galgotias-university/,40
167,GARDEN VARELI,https://www.advertgallery.com/product-category/advertisements-by-brand/garden-vareli/,4
168,GATEFORUM,https://www.advertgallery.com/product-category/advertisements-by-brand/gateforum-advertisements/,2
169,GAURS,https://www.advertgallery.com/product-category/advertisements-by-brand/gaurs/,49
170,GD GOENKA,https://www.advertgallery.com/product-category/advertisements-by-brand/gd-goenka/,16
171,GD GOENKA UNIVERSITY,https://www.advertgallery.com/product-category/advertisements-by-brand/gd-goenka-university/,10
172,GILI,https://www.advertgallery.com/product-category/advertisements-by-brand/gili/,6
